Date,Open,High,Low,Close,Volume
2017-12-28,3391.61,3404.81,3390.86,3399.1,106945696
2017-12-29,3400.91,3407.26,3390.47,3402.92,190528400
2018-01-02,3406.48,3433.82,3403.87,3430.3,180133904
2018-01-03,3434.7,3468.19,3432.87,3464.28,186267616
2018-01-04,3476.43,3501.16,3465.95,3501.16,407460160
2018-01-05,3502.34,3503.68,3480.22,3489.45,197794640
2018-01-08,3498.62,3514.76,3494.54,3512.18,138842496
2018-01-09,3514.76,3531.56,3514.52,3524.65,189052992
2018-01-10,3518.76,3523.46,3511.03,3520.45,190082400
2018-01-11,3523.94,3523.94,3511.62,3512.68,158625328
2018-01-12,3527.55,3530.69,3516.73,3520.56,216275392
2018-01-15,3532.01,3539.17,3528.64,3536.41,180747392
2018-01-16,3537.08,3557.04,3527.73,3550.21,165522208
2018-01-17,3543.36,3549.22,3534.89,3541.91,259905200
2018-01-18,3555.54,3561.45,3517.9,3521.31,248395856
2018-01-19,3515.52,3552.04,3514.71,3550.36,266360800
2018-01-22,3551.96,3569.43,3541.98,3569.43,195160224
2018-01-23,3577.22,3594.7,3575.98,3592.08,249857200
2018-01-24,3591.48,3611.69,3581.33,3609.24,252586400
2018-01-25,3609.52,3609.63,3565.27,3572.62,236497104
2018-01-26,3574.09,3576.34,3561.19,3567.14,196998208
2018-01-29,3577.42,3591.18,3575.79,3577.07,176035696
2018-01-30,3563.94,3575.76,3548.74,3548.74,249359088
2018-01-31,3531.47,3544.78,3526.14,3533.99,331414592
2018-02-01,3536.93,3556.66,3528.33,3547.23,330169312
2018-02-02,3545.18,3545.71,3522.65,3529.82,373378336
2018-02-05,3483.07,3491,3470.12,3482.93,283284192
2018-02-06,3414,3414.24,3353.96,3406.38,507834880
2018-02-07,3445.83,3460.2,3377.19,3383.77,401578528
2018-02-08,3421.3,3426.02,3376.81,3415.9,437515104
2018-02-09,3354.84,3382.66,3340.55,3377.24,401231712
2018-02-12,3384.98,3400.36,3372.7,3384.98,318335584
2018-02-13,3404.07,3438.25,3399.82,3415.07,308428288
2018-02-14,3431.61,3436.9,3402.86,3402.86,280243296
2018-02-15,3415.97,3445.88,3415.51,3443.51,270092000
2018-02-19,3462.11,3491.42,3457.54,3487.88,227937616
2018-02-20,3483.35,3485.38,3463.93,3476.53,266423904
2018-02-21,3474.34,3520.68,3472.94,3516.23,293987200
2018-02-22,3503.09,3506.24,3482.41,3488.46,334560064
2018-02-23,3509.05,3542.49,3508.85,3533.22,262127008
2018-02-26,3543.27,3561.01,3535.91,3555.85,282052800
2018-02-27,3566.97,3574.59,3540.39,3540.39,345396448
2018-02-28,3565.21,3565.21,3505.09,3517.94,409171776
2018-03-01,3493.44,3513.85,3481.36,3513.85,263379504
2018-03-02,3479.54,3491.53,3470.87,3479.2,236350000
2018-03-05,3490.06,3492.5,3429.45,3438.61,340215616
2018-03-06,3475.4,3494.85,3471.84,3491.92,254213056
2018-03-07,3467.75,3483.08,3447.55,3450.69,302399200
2018-03-08,3462.33,3483.79,3461.9,3480.44,197278496
2018-03-09,3494.43,3495.09,3476.24,3485.57,215293040
2018-03-12,3519.25,3551.78,3517.73,3540.19,200552096
2018-03-13,3533.53,3555.98,3530.96,3553.73,258441296
2018-03-14,3541.39,3548.94,3523.65,3539.41,216774816
2018-03-15,3520.81,3535.11,3506.45,3517.73,240691856
2018-03-16,3514.7,3519.54,3501.81,3512.14,311102688
2018-03-19,3515.95,3515.95,3493.52,3498.29,145115072
2018-03-20,3484.42,3516.4,3481.8,3513.31,169847584
2018-03-21,3516.32,3523.87,3503.26,3511.13,171222400
2018-03-22,3523.83,3526.25,3485.47,3491.37,159363696
2018-03-23,3436,3436.08,3394.55,3421.39,353448192
2018-03-26,3400.95,3430.2,3388.9,3412.46,256372992
2018-03-27,3438.54,3443.43,3423.98,3439.35,225254800
2018-03-28,3424.1,3424.1,3382.78,3382.78,246250112
2018-03-29,3393.86,3440.42,3392.67,3427.97,353012800
2018-04-02,3439.04,3443.88,3424.03,3430.76,170227872
2018-04-03,3405.31,3412.15,3387.38,3412.15,253511456
2018-04-04,3420.85,3421.02,3338.96,3339.7,293355872
2018-04-05,3389.19,3422.64,3383.21,3405.65,219012704
2018-04-06,3392.76,3449.4,3384.26,3442.5,306713728
2018-04-09,3432.28,3456.81,3413.9,3449.96,195164000
2018-04-10,3438.75,3473.84,3434.54,3466.38,232264192
2018-04-11,3478.03,3488.33,3472.32,3479.76,218050208
2018-04-12,3485.61,3493.66,3462.71,3468.61,220601488
2018-04-13,3486.67,3506.8,3482.99,3501.3,211556304
2018-04-16,3509.26,3509.48,3482.29,3497.19,162992128
2018-04-17,3505.31,3509.68,3490.76,3498.2,210319072
2018-04-18,3521.69,3560.38,3521.19,3557.82,251227104
2018-04-19,3573.06,3604.06,3569.11,3598.73,231435200
2018-04-20,3578.85,3596.54,3560.21,3573.38,227722096
2018-04-23,3566.63,3591.84,3563.19,3579.54,195922448
2018-04-24,3581.73,3587.23,3561.14,3584.56,235960192
